"ConditionID","InspectionID","Distance","Counter","PACP_Code","Continuous","Value_1st_Dimension","Value_2nd_Dimension","Value_Percent","Joint","Clock_At_From","Clock_To","Remarks","VCR_Time"
"1","1","0","0","AMH","","","","","False","","","6-463A",""
"2","1","0","0","MWL","","","","5","False","","","",""
"3","1","35.1","290","RFJ","","","","","True","8","","roots in joint",""
"4","1","43.5","373","AMH","","","","","False","","","6-463B",""
"5","2","0","0","AMH","","","","","False","","","1-025",""
"6","2","0","0","MWL","","","","5","False","","","",""
"7","2","117.2","348","TBA","","6","","","False","3","","active service with roots in first and second joint",""
"8","2","118.3","468","BVV","","","","","True","1","5","pipe broken with visible void and roots",""
"9","2","137.8","584","ISSR","","","","5","False","8","11","protruding gasket",""
"10","2","144.9","709","AMH","","","","","False","","","850-53",""
"11","3","0","0","AMH","","","","","False","","","1-025",""
"12","3","0","0","MWL","","","","5","False","","","",""
"13","3","128.3","312","AMH","","","","","False","","","1-026",""
"14","4","0","0","AMH","","","","","False","","","1-026L",""
"15","4","0","0","MWL","","","","5","False","","","",""
"16","4","9","166","TFA","","6","","","False","9","","active service",""
"17","4","42.4","324","TFA","","6","","","False","3","","active service",""
"18","4","76.1","404","AMH","","","","","False","","","1-026M",""
"19","5","0","0","AMH","","","","","False","","","1-026K",""
"20","5","0","0","MWL","","","","5","False","","","",""
"21","5","6","37","TFA","","6","","","False","9","","active service",""
"22","5","8.2","81","TFA","","6","","","False","3","","active service",""
"23","5","88.5","335","TFA","","6","","","False","3","","active service",""
"24","5","122.5","453","AMH","","","","","False","","","1-026L",""
"25","6","0","0","AMH","","","","","False","","","1-026M",""
"26","6","0","0","MWL","","","","5","False","","","",""
"27","6","8.8","31","TFA","","6","","","False","9","","active service",""
"28","6","35.5","111","TFA","","6","","","False","3","","active service",""
"29","6","75.8","187","TFA","","6","","","False","3","","active service",""
"30","6","90.7","242","AMH","","","","","False","","","1-026N",""
"31","7","0","0","AMH","","","","","False","","","1-026N",""
"32","7","0","0","MWL","","","","5","False","","","",""
"33","7","24.2","45","TFA","","6","","","False","3","","active service",""
"34","7","31.5","79","TFA","","6","","","False","9","","active service",""
"35","7","78.1","168","TFA","","6","","","False","3","","active service",""
"36","7","131.1","267","TFA","","6","","","False","3","","active service",""
"37","7","146.7","319","AMH","","","","","False","","","1-026O",""
"38","8","0","0","AMH","","","","","False","","","1-026O",""
"39","8","0","0","MWL","","","","5","False","","","",""
