"MediaID","InspectionID","Video_Name","Video_Location"
"1","1","10418.MPG","G:\"
"2","2","8685.MPG","G:\"
"3","3","8689.MPG","G:\"
"4","4","8823.MPG","G:\"
"5","5","8822.MPG","G:\"
"6","6","8824.MPG","G:\"
"7","7","8825.MPG","G:\"
"8","8","8829.MPG","G:\"
"9","9","8826.MPG","G:\"
"10","10","8821.MPG","G:\"
"11","11","8820.MPG","G:\"
"12","12","8690.MPG","G:\"
"13","13","8676.MPG","G:\"
"14","14","8669.MPG","G:\"
"15","15","8721.MPG","G:\"
"16","16","8713.MPG","G:\"
"17","17","8706.MPG","G:\"
"18","18","8572.MPG","G:\"
"19","19","8568.MPG","G:\"
"20","20","8566.MPG","G:\"
"21","21","8562.MPG","G:\"
"22","22","8563.MPG","G:\"
"23","23","9279.MPG","G:\"
"24","24","9267.MPG","G:\"
"25","25","9266.MPG","G:\"
"26","26","9258.MPG","G:\"
"27","27","9249.MPG","G:\"
"28","28","9251.MPG","G:\"
"29","29","8555.MPG","G:\"
"30","30","8553.MPG","G:\"
"31","31","8550.MPG","G:\"
"32","32","8543.MPG","G:\"
"33","33","8540.MPG","G:\"
"34","34","8538.MPG","G:\"
"35","35","8535.MPG","G:\"
"36","36","8534.MPG","G:\"
"37","37","8549.MPG","G:\"
"38","38","8548.MPG","G:\"
"39","39","8547.MPG","G:\"
"40","40","8546.MPG","G:\"
"41","41","8544.MPG","G:\"
"42","42","8727.MPG","G:\"
"43","43","8532.MPG","G:\"
"44","44","8526.MPG","G:\"
"45","45","8518.MPG","G:\"
"46","45","8519.MPG","G:\"
"47","46","8514.MPG","G:\"
"48","47","8512.MPG","G:\"
"49","48","8508.MPG","G:\"
"50","49","8776.MPG","G:\"
"51","50","8773.MPG","G:\"
"52","51","8757.MPG","G:\"
"53","52","8499.MPG","G:\"
"54","53","8498.MPG","G:\"
"55","54","8747.MPG","G:\"
"56","55","8741.MPG","G:\"
"57","56","8733.MPG","G:\"
"58","57","8730.MPG","G:\"
"59","58","8751.MPG","G:\"
"60","59","9450.MPG","G:\"
"61","60","8793.MPG","G:\"
"62","61","8788.MPG","G:\"
"63","62","9447.MPG","G:\"
"64","63","9444.MPG","G:\"
"65","64","9443.MPG","G:\"
"66","65","9472.MPG","G:\"
"67","66","9464.MPG","G:\"
"68","67","9414.MPG","G:\"
"69","68","9428.MPG","G:\"
"70","69","9433.MPG","G:\"
"71","70","9415.MPG","G:\"
"72","70","9425.MPG","G:\"
"73","70","9426.MPG","G:\"
"74","71","9431.MPG","G:\"
"75","72","9128.MPG","G:\"
"76","73","9387.MPG","G:\"
"77","74","9409.MPG","G:\"
"78","75","9401.MPG","G:\"
"79","76","9432.MPG","G:\"
"80","77","9127.MPG","G:\"
"81","78","9105.MPG","G:\"
"82","79","9376.MPG","G:\"
"83","80","9115.MPG","G:\"
"84","81","9112.MPG","G:\"
"85","82","9104.MPG","G:\"
"86","83","9108.MPG","G:\"
"87","84","9087.MPG","G:\"
"88","85","9085.MPG","G:\"
"89","86","9082.MPG","G:\"
"90","87","9088.MPG","G:\"
"91","88","9092.MPG","G:\"
"92","89","10014.MPG","G:\"
"93","90","10013.MPG","G:\"
